Ränta (rate),Bank,Bindningstid (loan duration),Postnummer (ZIP),Hur stort är ditt bolån (amount),När band du lånet (start date)
"3,54",Länsförsäkringar,3 månader,"65 461",,
"4,3",Skandiabanken,3 månader,"65 461",,
"4,15",Länsförsäkringar,3 månader,"65 461",,
"3,6",Danske Bank,3 månader,"65 461",,
4,Länsförsäkringar,3 månader,"65 461",600,20120401
4,Swedbank,2 år,"65461","1,5 mkr",Maj 2011
"3,95",Nordea,3 månader,"65 462",,
"3,58",SEB,3 månader,"65 462",1,Januari 2012
"3,7",SEB,2 år,"65462",1,Januari 2011
"2,84",SEB,2 år,"65462","1,4",September 2011
"2,25",Swedbank,2 år,"65463",610000,100830
"3,56",SEB,3 månader,"65 463",471000,Ej bundet
"4,05",Swedbank,Rörlig,"65 463","0,53",111229
"3,65",SEB,3 månader,"65 464",,
"3,71",Swedbank,3 månader,"65 464",488 tkr,20120330
"3,57",Handelsbanken,Rörlig,"65 464",1mkr,20120301
"3,85",Swedbank,2 år,"65464",650000,20120201
"3,5",SEB,3 månader,"65 465","1,3 mkr",2011-12-12
"4,1",Nordea,3 månader,"65 465","1,1 mnkr",111127
"3,7",Danske Bank,Rörlig,"65 465","2,9",20111219
"3,5",SEB,3 månader,"65 465","1,3 mkr",December 2011
"3,69",Swedbank,2 år,"65467",240000,2011-09-25
"4,17",Handelsbanken,3 månader,"65 468",,
"3,93",Handelsbanken,Rörlig,"65 468",1200000,2012-04-01
"3,77",SEB,Rörlig,"65 591",,
"4,25",Handelsbanken,5 år,"65591","1,8 mkr",20110903
"3,16",SEB,2 år,"65591",490000,April 2012
"4,2",Swedbank,5 år,"65593","0,5",november 2011
"3,28",SEB,1 år,"65594",,
"3,7",Nordea,3 månader,"65 594",,
"3,59",Swedbank,5 år,"65635",500000,2011-06-15
"4,2",Nordea,Rörlig,"65 638",,
"4,3",Nordea,Rörlig,"65 638",,
"4,15",Swedbank,3 månader,"65 638",,
4,Swedbank,Rörlig,"65 639","1, 8 mkr",2008
"3,29",Swedbank,3 år,"65639",700000,120205
"4,17",Handelsbanken,3 månader,"65 672",,
"3,3",Nordea,Rörlig,"65 672","1,6",Mars 2012
"4,25",Swedbank,Rörlig,"66 010",,
"4,5",Nordea,30 år,"66010",800.0"0,00",70228
"4,3",Nordea,3 månader,"66 010",550000,april 2008
"3,75",Nordea,2 år,"66011",,
"4,06",SEB,Rörlig,"66 040","0,375 mkr",2011-09-30
"4,2",Nordea,Rörlig,"66 050",,
"4,5",Nordea,3 månader,"66 050",,
"3,81",Swedbank,5 år,"66050",675000,2010-05-21
"4,35",Swedbank,1 år,"66050",500.0"0,00",20119-10-10
"4,25",Nordea,2 år,"66050",200000,november 2011
"4,42",Länsförsäkringar,Rörlig,"66 052",,
"3,42",Swedbank,Rörlig,"66 052",,
"4,45",Swedbank,3 månader,"66 052",800000,2012-01-28
"3,3",Nordea,3 år,"66052",414,2010
"4,3",Nordea,5 år,"66060",,
"4,2",Swedbank,Rörlig,"66 060",600000,120101
"3,9",Handelsbanken,3 månader,"66 060",200000,20091223
"3,37",Swedbank,3 månader,"66 100","0,8 mkr",120301
"3,95",Swedbank,3 år,"66130",,
"4,82",Länsförsäkringar,10 år,"66130",184500,20070330
"4,5",Nordea,5 år,"66131",600000,2010-06-15
"3,07",Handelsbanken,3 månader,"66 131",733000,120301
"3,6",Swedbank,2 år,"66133",600000,120210
"3,33",Swedbank,Rörlig,"66 142","0,150 mkr",2012-03-30
"4,6",Nordea,5 år,"66142",370000,mars 2008
"4,25",SBAB,2 år,"66143",610000,2011-03-04
"3,88",Handelsbanken,5 år,"66192",340000,2011-11-01
"3,55",Swedbank,3 år,"66193",350000,November 2011
"3,95",Nordea,3 månader,"66 235","1,2",90701
"3,6",Handelsbanken,2 år,"66235",460000,20121101
"3,7",Handelsbanken,3 år,"66236",131000,20120430
"4,15",Swedbank,3 månader,"66 236",950000,xx
"4,15",Swedbank,3 månader,"66 236",782000,2011-07-01
"4,3",Handelsbanken,3 månader,"66 237",0.5 mkr,mars 2012
"4,45",Swedbank,Rörlig,"66 291","1,2mkr",2010-07-20
"3,8",Swedbank,3 år,"66300",522,260212
"3,9",Nordea,3 månader,"66 301","2,6 mkr",2012-03-01
"4,39",Swedbank,2 år,"66332",220000,2011-05-24
"3,9",Nordea,3 månader,"66 333",,
"3,8",Handelsbanken,Rörlig,"66 333","1,3",120112
4,Swedbank,3 år,"66333","1,5",20120105
"3,75",Swedbank,3 månader,"66 340",,
"3,85",Swedbank,Rörlig,"66 340",600000,120312
"3,5",Länsförsäkringar,2 år,"66340",2,2012-04-01
"4,62",Swedbank,5 år,"66340",476000,2008-01-25
"5,29",Nordea,5 år,"66340",350,2007-04-27
"3,56",SEB,3 månader,"66 341",,
"4,35",Swedbank,3 månader,"66 341",,
"2,65",SBAB,2 år,"66341",,
4,Länsförsäkringar,Rörlig,"66 341","3,6",20120402
"3,55",Swedbank,3 månader,"66 341","3,2 mkr",2011-11-01
"4,07",Nordea,2 år,"66341",180 kkr,2010-10-01
"4,5",Nordea,3 månader,"66 341",350 tkr,20100930
"3,07",SEB,3 år,"66341",802000,2012
"3,53",Handelsbanken,3 år,"66341",855000,Mars 2012
"3,98",Handelsbanken,5 år,"66341",900000,April 2012
"3,5",Nordea,2 år,"66341","1,4",mars 2011
"4,15",Swedbank,3 månader,"66 342",575000,120328
"3,58",Handelsbanken,2 år,"66342",843000,Mars 2012
"4,35",Handelsbanken,3 månader,"66 391","2,2 mkr",2012-04-01
"2,89",SEB,3 år,"66391","2,4",111223
"2,89",SEB,3 år,"66391","2,4",111223
"3,89",SBAB,2 år,"66430",840000,120925
"5,4",Swedbank,5 år,"66432",360000,2007-08-08
"5,1",Swedbank,5 år,"66434",,
"4,42",Länsförsäkringar,Rörlig,"66 434",,
"3,64",Nordea,5 år,"66434",700000,110801
"4,13",Handelsbanken,3 månader,"66 492",,
"4,13",Handelsbanken,3 månader,"66 492",,
"3,41",SEB,3 månader,"66 530",800000,20110412
"3,79",Nordea,2 år,"66530","0,8 mkr",2010-12-01
"4,05",Danske Bank,3 månader,"66 530",1500000,2011-10-30
"3,63",SEB,3 månader,"66 530","1,2 mkr",Februari 2012
"3,8",Nordea,3 månader,"66 532",750000,20120402
"4,15",Swedbank,3 månader,"66 533","1,5 mkr",80415
"4,3",Nordea,Rörlig,"66 533",230000,120127
"4,15",Länsförsäkringar,3 månader,"66 533","1,18",Januari
"3,56",SEB,5 år,"66533",584000,Augusti 2007
"3,65",Swedbank,3 år,"66535",800 kkr,2011-10-01
"4,05",Länsförsäkringar,Rörlig,"66 591",,
"4,14",Swedbank,2 år,"66591",675000:-,2011-11-28
"4,24",Nordea,Rörlig,"66 593",,
"3,93",Swedbank,5 år,"66631",5200000,april 2012
"4,3",Handelsbanken,3 månader,"66 731",,
"3,2",Nordea,3 år,"66731",600000,101001
"3,75",Nordea,2 år,"66731",555000,120325
"3,75",Nordea,3 år,"66732",800000,2012-03-27
"3,88",Swedbank,4 år,"66734",365000,2011
"4,1",Nordea,3 månader,"66 830",850000,20120110
"4,43",Swedbank,Rörlig,"66 831",,
"4,27",Swedbank,4 år,"66831",675000,sept 2011
"4,1",Nordea,Rörlig,"66 930",550000,maj 2008
"3,75",Nordea,3 år,"66931",,
"4,2",Handelsbanken,2 år,"66932",375000,2011-12-01
"2,9",Swedbank,3 år,"66932",639000,110312
"3,63",Swedbank,3 år,"67035",800000,mars 2012
"4,65",Swedbank,Rörlig,"67 040","1,5mkr",November 2009
"4,44",Nordea,3 år,"67130",300000,april 2011
"4,44",Nordea,3 år,"67130",300000,april 2011
4,Handelsbanken,3 månader,"67 141","1,05 mkr",120201
"3,96",SEB,Rörlig,"67 142",900 tkr,ej bundet
"4,15",Swedbank,Rörlig,"67 142",825000,rörligt
"4,3",Nordea,3 månader,"67 150",,
"4,2",Nordea,3 månader,"67 151",1,februari 2012
"4,45",Swedbank,Rörlig,"67 151",,
"4,45",Swedbank,3 månader,"67 160",920000,jan 2012
"3,7",Nordea,5 år,"67192",,
"5,16",Swedbank,5 år,"67192","0,222",2007-12-19
"4,81",Swedbank,Rörlig,"67 193",,
"4,6",Nordea,Rörlig,"67 194",,
"4,15",Swedbank,3 månader,"67 194",,
"4,04",Nordea,2 år,"67195",400000,101201
"4,2",Swedbank,1 år,"67196",20000,111010
"4,2",Swedbank,1 år,"67222",,
"4,19",Handelsbanken,3 månader,"67 230",,
"4,3",Nordea,3 månader,"67 391",,
"3,8",Swedbank,3 månader,"68 040",150000,2008
"3,8",Swedbank,3 månader,"68 050","0,8 mkr",120301
"4,14",Swedbank,2 år,"68133",505000,2011-09-19
"3,25",Handelsbanken,2 år,"68135",285000,december 2010
"3,58",Swedbank,3 år,"68138","1,3",2012-02-20
"3,7",Handelsbanken,2 år,"68143",,
3,Handelsbanken,3 år,"68143","0,935 mkr",2010-08-01
"2,8",Nordea,2 år,"68143",600000,juni 2010
"3,59",Swedbank,4år,"68150",95000 kr,2010-03-25
"3,83",Swedbank,3 månader,"68 150","1,1",120228
"3,83",Swedbank,3 månader,"68 150","1,1",Februari 2012
"3,75",Nordea,3 år,"68152",725000,120301
"3,87",Handelsbanken,3 månader,"68 193","0,235",Feb 2012
"4,25",Nordea,3 månader,"68 194",680000,2011-02-28
"4,2",Swedbank,10 år,"68195",450000,20050803
"3,24",SBAB,3 år,"68195","2,15 mkr",Augusti 2010
"6,15",Swedbank,3 månader,"68 233","0,128",Mars 2009
"4,35",Swedbank,3 månader,"68 233","0,3",Mars 2009
"3,72",Handelsbanken,2 år,"68234","0,33 mkr",120114
"4,35",Swedbank,3 månader,"68 292","0,75",Mars 2009
"6,15",Swedbank,3 månader,"68 292","0,75",Mars 2009
"3,95",Swedbank,3 år,"68393",250000,april 2012
"4,1",Nordea,3 månader,"68 395","0,3 mkr",mars 2012
"3,6",Swedbank,3 månader,"68 500","1,1",2012-02-20
"4,2",Swedbank,3 månader,"68 530",980000,Februari 2012
"4,2",Swedbank,3 månader,"68 530",980000,Februari 2012
"4,15",Swedbank,Rörlig,"68 534","0,62 mkr",Dec 2010
"4,2",Nordea,Rörlig,"68 592","1,1mkr",120331
"2,2",Handelsbanken,Rörlig,"68 600","0,7 mkr",2010-05-05
"3,7",Nordea,3 månader,"68 630","3,2mkr",2012-03-01
"4,2",Handelsbanken,2 år,"68630",650000,120801
"3,9",Swedbank,3 månader,"68 692","0,5 mkr",Mars 2012
"5,29",Handelsbanken,5 år,"68696",163985,2007-05-01
"3,2",Handelsbanken,1 år,"68697",400000,20111001
"3,2",Handelsbanken,1 år,"68697",400000,20111001
"3,9",Swedbank,3 månader,"68 698",390000,20120401
"4,76",Handelsbanken,3 år,"68830",189000 kr,April 2011
"3,7",Länsförsäkringar,2 år,"69131",,
"3,75",Handelsbanken,Rörlig,"69 131","1,4",30325
"3,95",Swedbank,3 månader,"69 132",800000,2012-02-15
"2,61",SEB,1 år,"69133",430000,2011-11-30
"2,85",SEB,2 år,"69133",430000,2011-11-30
"3,1",SEB,3 år,"69133",430000,2011-11-30
"3,88",Länsförsäkringar,3 månader,"69 135","1,05",20120330
"3,76",SEB,3 månader,"69 135",400000,20070614
"3,76",SEB,Rörlig,"69 136",400000,20070614
"3,34",SEB,2 år,"69138","0,0205",110528
"5,19",Swedbank,5 år,"69141",595 kkr,Maj 2007
4,Handelsbanken,3 månader,"69 141",,
"4,2",Nordea,Rörlig,"69 141",787000,100301
"3,85",Länsförsäkringar,Rörlig,"69 141","1,5 mkr",110403
"3,2",Handelsbanken,3 år,"69144","0,94 mkr",2012-04-01
"3,76",SEB,3 månader,"69 145",,
"3,8",Swedbank,2 år,"69147",1 mkr,2012-01-24
"3,59",SEB,2 år,"69151","0,2 mkr",120328
"3,6",SEB,2 år,"69152",650000,mars2011
"3,71",SEB,3 månader,"69 153","0,27 mkr",2010-12-06
"3,22",Swedbank,3 år,"69153",485000,2010-08-10
"3,85",Swedbank,5 år,"69154",900000,100925
"3,85",Länsförsäkringar,1 år,"69154",,
"5,2",Nordea,7 år,"69154",,
"3,57",Swedbank,4 år,"69154",468750,2010-03-25
"4,15",Länsförsäkringar,7 år,"69192",350000,Juni 2010
"4,2",Swedbank,1 år,"69230",,
"2,85",Nordea,2 år,"69232",1035000,2012-07-27
"3,85",Länsförsäkringar,3 månader,"69 233",1536000,1200201
"3,81",Swedbank,Rörlig,"69 233",900000,2012-02-23
"4,15",Swedbank,3 månader,"69 233",1785000,decemder 2010
"4,5",Swedbank,5 år,"69234","1,6",2001
"3,6",SEB,2 år,"69236","1,2 mkr",2012-03-30
"3,7",SEB,3 månader,"69 236",750000,120228
"3,76",SEB,3 månader,"69 238",320000 kr,20100425
"3,51",SEB,3 år,"69271",,
"4,25",Handelsbanken,3 månader,"69 271",,
"3,78",Swedbank,bundet och rörligt,"69 271","2,10mkr",2010-01-01
"4,27",Handelsbanken,5 år,"69271",120000,2010-05-01
"3,36",SEB,3 månader,"69 271","2,1",2012-03-21
"3,55",Länsförsäkringar,3 år,"69271","2,1",2012-03-01
"4,15",Handelsbanken,3 månader,"69 271",300000 kr,Januari 2012
"2,92",Handelsbanken,3 år,"69272",122000,September 2010
"3,9",Swedbank,2 år,"69272",805000,20110224
"4,3",Swedbank,Rörlig,"69 293",,
"4,6",Swedbank,10 år,"69331",415000,2009
"4,65",Swedbank,"Rörligt 3 månader med räntetak på 4,95% bundet på 3 år","69 333",720000,December 2010
"4,45",Nordea,Rörlig,"69 334",275000,rörlig
"3,35",Swedbank,3 år,"69334",362000,100325
"3,56",SEB,3 månader,"69 335",,
"4,2",Handelsbanken,2 år,"69433",65 000:-,2011-10-13
"3,7",SEB,1 år,"69436",1,2011-08-18
"3,54",Nordea,5 år,"69436",350000,september 2010
"3,5",Swedbank,2 år,"69437","0,9",120322
"4,2",Swedbank,3 månader,"69 450",100000 kr,2012-03-15
"4,2",Handelsbanken,3 månader,"69 491",800000,100210
"3,5",Handelsbanken,2 år,"69496",,
"3,56",Swedbank,3 år,"69531",1mkr,120325
"4,2",Nordea,Rörlig,"69 593",,
"4,17",Handelsbanken,3 månader,"69 631",,
"3,85",Swedbank,3 månader,"69 631",1100000,120401
"3,35",Nordea,2 år,"69696",,
"4,34",Nordea,2 år,"69696",,
"4,45",Nordea,Rörlig,"69 696",,
"4,07",Handelsbanken,3 månader,"69 791",1,120501
"4,3",Handelsbanken,Rörlig,"69 792",,
"4,25",Swedbank,Rörlig,"69 792",700000,augusti 2011
"4,13",Handelsbanken,3 månader,"70 212",,
"3,84",Handelsbanken,2 år,"70212",,
"3,7",Nordea,3 månader,"70 212",320.000 kr,120403
"3,95",Swedbank,3 månader,"70 215",,
"4,5",Swedbank,5 år,"70215",1.1mkr,2007
"3,75",Danske Bank,Rörlig,"70 216",,
"3,77",Handelsbanken,3 månader,"70 216","2,8 mkr",2012-03-01
"4,1",Länsförsäkringar,2 år,"70216",850000,111101
"4,14",Länsförsäkringar,Rörlig,"70 216",950000,2011-10-01
"4,37",Länsförsäkringar,Rörlig,"70 216",250000,2011-12-01
"4,3",Swedbank,Rörlig,"70 217",,
"4,3",Swedbank,2 år,"70217",,
"3,25",Nordea,2 år,"70217","1,6 mkr",2012-03-01
"3,25",Nordea,3 år,"70217","1,1 mkr",2012-02-01
"2,99",SEB,3 år,"70217","1,1 mkr",20120301
"3,9",Swedbank,Rörlig,"70 217","2,6",rörligt
"3,85",Swedbank,3 månader,"70 217",700000,20120326
"3,65",Danske Bank,Rörlig,"70 217","1,5",20090101
"4,17",Handelsbanken,3 månader,"70 217","1,9",20120201
"4,3",Handelsbanken,5 år,"70217",900 kkr,2009
"4,7",Nordea,3 månader,"70 218",,
"4,12",Länsförsäkringar,3 månader,"70 218",730000,120330
"3,5",Nordea,Rörlig,"70 221",,
"3,5",Danske Bank,Rörlig,"70 221","2,1 mkr",2011-09-01
"3,71",Swedbank,Rörlig,"70 221",300.0"0,00",juni 2011
"3,62",SEB,1 år,"70221",2,mars2012
"3,45",Länsförsäkringar,2 år,"70222",550000,20120301
"4,1",Swedbank,2 år,"70224",200.0"0,00",juni 2011
"3,66",Nordea,3 månader,"70 225",986000,120401
"3,67",Handelsbanken,3 månader,"70 225",1.250 mkr,2012-04-01
"3,76",SEB,2 år,"70225","0,96",2010.09.10
"4,64",Handelsbanken,3 månader,"70 226",,
"4,1",Swedbank,2 år,"70226",555000,110811
"4,2",Nordea,Rörlig,"70 226",378000,100901
"4,05",Swedbank,3 månader,"70 226",555000,110811
"3,56",SEB,3 månader,"70 226",580000,Januari 2012
"3,99",SEB,3 år,"70226",585000,Juni 2011
"4,41",SEB,5 år,"70226",585000,Juni 2011
"3,56",SEB,Rörlig,"70 228",,
"3,85",Länsförsäkringar,3 år,"70228",1 mkr,2011-08-20
"4,3",Handelsbanken,2 år,"70228","1,1 mkr",2011
"4,15",Handelsbanken,3 månader,"70 230",,
"4,4",Nordea,8 år,"70230",3,2005-03-15
"4,14",Länsförsäkringar,Rörlig,"70 230","1,5 mkr",rörligt
"4,15",Swedbank,Rörlig,"70 230","1,3 mkr",2011
"3,66",SEB,3 månader,"70 230","3,1 mkr",Mars 2012
"4,35",Swedbank,3 månader,"70 231",,
"3,9",Swedbank,3 år,"70231",775000,2012-04-02
"3,14",Nordea,2 år,"70231","1,8",20111001
"3,25",Nordea,3 månader,"70 231",2300000,december 2011
"4,15",Swedbank,3 månader,"70 231",2139000,mars 2010
"4,1",Swedbank,Rörlig,"70 232","1,2",20111201
"4,8",Swedbank,5 år,"70232",600000,20110201
"3,3",Swedbank,1 år,"70232",300000,20110201
"3,3",Swedbank,1 år,"70232",300000,20110201
"4,8",Swedbank,5 år,"70232",600000,20110201
"3,86",SEB,Rörlig,"70 232",300000,rörligt
"3,55",Nordea,3 månader,"70 237",800000,september 2011
"4,2",Handelsbanken,3 år,"70283","1,8 mkr",2011-06-01
"3,71",SEB,3 månader,"70 285",,
"3,03",SEB,2 år,"70285",463000,120215
"3,77",SEB,Rörlig,"70 285","2,1",februari2012
"3,29",Nordea,3 år,"70286",,
"3,71",Swedbank,Rörlig,"70 286",,
"3,5",SEB,2 år,"70286",,
"3,68",SEB,3 månader,"70 286",,
"2,7",SEB,3 år,"70286",3,20120120
"4,12",Swedbank,Rörlig,"70 340",600000,20120212
"2,53",SEB,2 år,"70340",3 mkr,sep 2011
"4,5",SBAB,3 månader,"70 345",,
"3,48",Swedbank,3 år,"70347","1,610 mkr",2011-11-01
"4,25",Swedbank,10 år,"70347","0,5 mkr",2011-02-17
"4,27",Länsförsäkringar,3 månader,"70 348","1,3",120201
"3,5",Nordea,2 år,"70348","1,5mkr",Mars 2012
"3,87",SEB,5 år,"70353","0,6",April 2010
"3,67",SEB,Rörlig,"70 353","1,2",mars 2012
"4,3",Skandiabanken,3 månader,"70 354","1,4 mkr",2012-01-20
"3,6",Nordea,2 år,"70354","1,2 mkr",mars 2012
"3,6",Nordea,2 år,"70354","1,2 mkr",mars 2012
"3,6",Nordea,2 år,"70354","1,2 mkr",mars 2012
"4,3",Skandiabanken,3 månader,"70 354","1,4",januari 2012
"3,76",SEB,3 månader,"70 354",286000,Januari 2012
"3,85",Swedbank,3 månader,"70 355","2,6 mkr",mars 2012
"3,9",Swedbank,2 år,"70355",,
"3,95",Swedbank,Rörlig,"70 355","1,8",ej bundit
"3,13",SEB,2 år,"70356","2,4",20120128
"3,99",SEB,2 år,"70356",460000,2011-02-25
"3,65",Swedbank,3 år,"70359",480000,2012-03-22
"3,75",Handelsbanken,Rörlig,"70 360",,
"4,35",Swedbank,Rörlig,"70 360",731000,2008-03-01
"4,2",Handelsbanken,3 månader,"70 360",680000,120201
"3,55",Nordea,3 år,"70361","1,5mkr",120301
"3,55",Nordea,3 år,"70361","1,5 mkr",120301
"2,7",SEB,2 år,"70361","1,7 Mkr. ",111001
"4,07",Handelsbanken,3 månader,"70 361","0,9 mkr",April 2012
"3,36",SEB,3 månader,"70 363",,
"3,36",SEB,3 månader,"70 363",,
"3,82",Handelsbanken,3 månader,"70 363","o,7",120301
"3,92",SEB,3 månader,"70 363","0,45",20120328
"4,16",SBAB,5 år,"70364","1,9",2011-10-28
4,Swedbank,2 år,"70364","0,8 mkr",111001
"4,13",Handelsbanken,Rörlig,"70 366",,
"3,45",Nordea,2 år,"70369",02.0"1,00",120130
"3,5",Handelsbanken,2 år,"70369",,
"4,15",Swedbank,3 månader,"70 374",110000,28/3
"4,65",Nordea,3 månader,"70 374",700000,2012-02-01
"4,3",Swedbank,3 månader,"70 374",350000,120528
"4,5",Nordea,3 månader,"70 375",,
"4,5",Nordea,3 månader,"70 375",,
"3,8",Swedbank,1 år,"70375","2,7",120110
"3,7",Handelsbanken,2 år,"70375",800000,111201
"4,13",Handelsbanken,3 månader,"70 375",700000,Januari 2008
"3,92",Handelsbanken,3 månader,"70 375","1,7mkr",2006
"3,92",Handelsbanken,3 månader,"70 375","1,7mkr",2006
"3,64",Swedbank,Rörlig,"70 376",,
"3,25",Swedbank,3 månader,"70 376",,
"3,5",Länsförsäkringar,2 år,"70376",700000,2012-04-02
"3,9",Länsförsäkringar,3 månader,"70 376",170000,2012-03-23
"3,4",Nordea,2 år,"70376","0,6 mkr",120403
"4,17",Handelsbanken,Rörlig,"70 376","0,9",950101
"4,5",Swedbank,Rörlig,"70 376","1,6 mkr",2010-05-01
"3,77",Handelsbanken,3 månader,"70 376","1,8 mkr",20120201
"3,95",Nordea,Rörlig,"70 378",01.0"4,00",2012-02-27
"2,72",Handelsbanken,2 år,"70441",460000,20101101
"3,48",Swedbank,Rörlig,"70 510","1,4mkr",2012-03-30
"2,84",SEB,3 år,"70591",,
"3,71",SEB,3 månader,"70 591",600000,120320
"3,77",Handelsbanken,3 månader,"70 591","1,6 mkr",Mars 2012
"4,99",Swedbank,5 år,"70592","0,32",2010-11-25
"5,98",Swedbank,5 år,"70594",,
"3,3",Swedbank,Rörlig,"70 594","2,7",120330
"3,5",Nordea,3 månader,"70 595","1,2",20120327
4,Danske Bank,Rörlig,"70 595",624000,2010
"3,98",SEB,Rörlig,"70 595","1,9 mkr",Mars 2012
"4,22",Länsförsäkringar,3 månader,"70 597",,
3,SEB,2 år,"70597","1,9 mkr",120301
"3,96",SEB,Rörlig,"70 597",1000000,2012-01-27
"3,89",Länsförsäkringar,3 år,"70598","1,47",120201
"4,43",Handelsbanken,3 månader,"71 041","2,0 mkr",2012-04-01
"4,15",Länsförsäkringar,3 månader,"71 041","0,6",april 2012
"5,17",Nordea,5 år,"71130",600000,augusti 2008
"4,3",Swedbank,3 månader,"71 131",,
"4,15",Swedbank,Rörlig,"71 131","1,2",Aldrig
"4,15",Swedbank,Rörlig,"71 131","1,2",Aldrig
"4,17",Handelsbanken,Rörlig,"71 131",582000,2010
"4,24",Swedbank,5 år,"71133",,
"2,84",Handelsbanken,2 år,"71133","0,5mkr",September 2010
"4,59",Handelsbanken,3 år,"71133","0,235 mkr",Mars 2010
"4,1",Nordea,3 månader,"71 134",,
"4,13",Handelsbanken,3 månader,"71 134","1,5 mkr",feb -12
"4,15",Swedbank,3 månader,"71 136",900000,20110810
"4,45",Swedbank,5 år,"71178",360000,oktober 2010
"3,95",Swedbank,Rörlig,"71 178",365000,oktober 2010
"4,2",Swedbank,Rörlig,"71 191",,
"4,7",Swedbank,5 år,"71191","1,4",110428
"3,76",Swedbank,3 år,"71192",1950000,2012-03-26
"4,3",Swedbank,3 år,"71196",350000,2011-10-01
"3,8",Handelsbanken,3 år,"71198",,
"3,3",SEB,2 år,"71293",400000,2011-06-01
4,SBAB,Rörlig,"71 332",,
"4,87",Swedbank,3 månader,"71 391",,
"4,19",Handelsbanken,Rörlig,"71 391",,
"3,67",Nordea,2 år,"71391","2,8",20101010
"3,2",SEB,2 år,"71422",360000,2010-11-28
"4,42",Länsförsäkringar,Rörlig,"71 494",,
"4,5",Länsförsäkringar,3 år,"71531",,
"2,6",Länsförsäkringar,2 år,"71531",,
"4,2",Swedbank,Rörlig,"71 531",550,110501
"3,5",Handelsbanken,3 år,"71531","0,7",2010-11-01
"2,98",Handelsbanken,3 år,"71572",570000,100901
"3,72",Swedbank,5 år,"71592","1,350 mkr",100625
"4,22",Länsförsäkringar,3 månader,"71 594",900000,2010-09-25
"4,15",Länsförsäkringar,Rörlig,"71 596",243,120301
"4,63",Handelsbanken,3 år,"71691",,
"4,05",Länsförsäkringar,Rörlig,"71 892",,
"3,83",SBAB,2 år,"71892",615000,20120308
"3,83",SBAB,2 år,"71892",615000,20120308
"4,65",Swedbank,3 år,"71894",,
"3,65",Swedbank,3 månader,"71 940",480000 sek,20120401
"4,13",Handelsbanken,Rörlig,"71 940",950000,mars2012
"3,95",SEB,2 år,"71993",,
"3,7",Danske Bank,Rörlig,"71 993",,
"4,31",Swedbank,3 månader,"71 993",420000,111201
"4,45",Swedbank,Rörlig,"71 994",700000,20120101
"4,9",Handelsbanken,5 år,"71995",1200000,30108
"3,75",Handelsbanken,Rörlig,"72 164","2,2 Mkr. ",Ej bundet
"3,5",Länsförsäkringar,2 år,"72196","1,5",Januari 2012
"3,42",Handelsbanken,2 år,"72209",800000,2012-03-01
"3,67",Handelsbanken,3 månader,"72 209",407000,2012-03-01
"3,6",SEB,3 månader,"72 209","1,5 mkr",120331
"4,01",Swedbank,3 månader,"72 209",1657500,0
"3,63",SEB,Rörlig,"72 210",,
"4,15",Swedbank,3 månader,"72 210",,
"4,03",Handelsbanken,Rörlig,"72 210",,
4,Handelsbanken,2 år,"72210",,
"3,5",Nordea,3 år,"72210","0,55 mkr",120325
"4,25",Nordea,Rörlig,"72 210",1 mkr,60825
"3,9",Nordea,Rörlig,"72 210","1,2 mkr",2012-03-15
"2,85",Swedbank,Rörlig,"72 210",908000,2007
"3,92",Handelsbanken,2 år,"72210",300000,januari 2012
"4,22",Länsförsäkringar,3 månader,"72 211",200000,december 2011
"3,56",SEB,3 månader,"72 211",,
"3,31",SEB,3 månader,"72 211",555000,2012-03-21
"3,56",SEB,3 månader,"72 212","2,1 mkr",2012-03-20
"3,52",SEB,3 månader,"72 212",1500000,120401
"3,6",Danske Bank,3 månader,"72 213","2,5 Mkr",2012-01-02
"4,07",Handelsbanken,3 månader,"72 213",380000,April 2012
"4,2",Nordea,3 månader,"72 214","1,56 mkr",2012-01-20
"4,12",SBAB,2 år,"72214","0,9 mkr",110830
"3,95",Länsförsäkringar,3 månader,"72 214",620000,2012-03-20
"3,87",Swedbank,5 år,"72214","1,142",2010-06-30
"3,56",SEB,3 månader,"72 214","0,144mkr",2012-02-28
"3,65",Länsförsäkringar,3 månader,"72 215","1,2 mkr",2012-03-20
4,Handelsbanken,2 år,"72215","1,8 mkr",2011-06-01
"3,4",Nordea,3 år,"72216",,
"4,33",Handelsbanken,3 månader,"72 216","1,5mkr",20100201
"4,05",Swedbank,3 månader,"72 217",1,90515
"4,42",Länsförsäkringar,3 månader,"72 217",529500,2010-08-01
"3,9",Danske Bank,Rörlig,"72 217",540000,Juni 2011
"3,71",SEB,3 månader,"72 218",,
"4,5",Handelsbanken,Rörlig,"72 218",862000,20120201
"4,5",Handelsbanken,Rörlig,"72 218",862000,20120201
"3,95",SEB,2 år,"72218","3,8",2012-01-13
"3,72",SEB,3 år,"72219",2 mkr,2011-10-26
"2,63",Länsförsäkringar,2 år,"72219","0,5 mkr",110411
"3,93",Handelsbanken,3 månader,"72 220","2,2 mkr",2012-04-01
"4,5",Handelsbanken,3 år,"72221",,
"3,75",Nordea,Rörlig,"72 223","0,375",120324
"3,32",SEB,3 månader,"72 223","3,1",20120326
"4,45",Swedbank,3 månader,"72 223",,
"3,49",Skandiabanken,2 år,"72223","2,3 mkr",100201
"3,92",SEB,3 månader,"72 223","1,0 mkr",2012-03-29
